name,phone,village,culture,cooperative,parcelles
Kouassi Amadou,+22901020304,Zogbodomey,Cacao,Coop Zou,3
Sika Bénédicte,+22901020305,Bohicon,Coton,Coop Zou,2
Adéchina Paul,+22901020306,Parakou,Anacarde,Coop Borgou,5
Gbéhounou Marc,+22901020307,Savalou,Maïs,Coop Zou,2
Houndé Fatima,+22901020308,Nikki,Coton,Coop Borgou,4
Assogba David,+22901020309,Abomey,Cacao,Coop Mono,3
Kpossi Jeanne,+22901020310,Grand-Popo,Anacarde,Coop Mono,1
Akakpo Olivier,+22901020311,Pobè,Café,Coop Ouémé,2
Tossou Rachel,+22901020312,Kétou,Cacao,Coop Ouémé,4
Hounkpatin Gildas,+22901020313,Kandi,Coton,Coop Borgou,3
